,latitude,longitude,brightness,acq_date,satellite,confidence,frp,fire_type
136,-24.6578,151.3869,324.0,2019-08-01,Aqua,82,18.7,0
137,-19.4815,146.3895,317.8,2019-08-01,Aqua,52,19.6,0
138,-19.4922,146.3912,360.2,2019-08-01,Aqua,94,140.7,0
139,-19.4995,146.4203,340.5,2019-08-01,Aqua,86,68.7,0
140,-19.4927,146.4757,314.5,2019-08-01,Aqua,49,14.8,0
141,-19.5102,146.422,312.2,2019-08-01,Aqua,55,14.4,0
142,-19.4939,146.3771,316.3,2019-08-01,Aqua,6,16.7,0
143,-18.6816,145.7365,310.4,2019-08-01,Aqua,61,15.5,0
144,-14.8508,144.3189,387.4,2019-08-01,Aqua,100,405.8,0
145,-14.8529,144.3027,334.9,2019-08-01,Aqua,88,67.7,0
146,-13.2252,141.9932,325.0,2019-08-01,Aqua,57,61.0,0
147,-13.2352,141.9781,324.7,2019-08-01,Aqua,70,60.2,0
148,-13.2325,142.0011,328.1,2019-08-01,Aqua,83,75.9,0
149,-13.3346,142.0185,312.7,2019-08-01,Aqua,36,19.9,0
150,-13.5224,142.6336,316.1,2019-08-01,Aqua,69,24.5,0
151,-13.6289,141.9563,317.7,2019-08-01,Aqua,66,37.0,0
152,-13.5903,142.621,312.8,2019-08-01,Aqua,47,13.4,0
153,-13.5872,142.6256,316.1,2019-08-01,Aqua,68,21.2,0
154,-13.8268,143.14,309.6,2019-08-01,Aqua,34,10.8,0
155,-15.4776,142.5811,315.4,2019-08-01,Aqua,47,20.0,0
156,-15.0828,144.9226,309.4,2019-08-01,Aqua,51,12.2,0
157,-15.0421,144.9773,310.3,2019-08-01,Aqua,57,15.6,0
158,-15.0416,144.9704,310.1,2019-08-01,Aqua,34,13.9,0
159,-15.038,144.8193,315.2,2019-08-01,Aqua,66,16.5,0
160,-15.0267,144.8179,316.6,2019-08-01,Aqua,72,18.7,0
161,-15.0594,144.4606,315.0,2019-08-01,Aqua,32,18.0,0
162,-14.9914,144.9189,320.7,2019-08-01,Aqua,68,24.9,0
163,-14.9417,144.8623,317.3,2019-08-01,Aqua,49,20.2,0
164,-14.9436,144.8472,327.7,2019-08-01,Aqua,63,42.9,0
165,-14.8715,144.408,330.9,2019-08-01,Aqua,76,52.9,0
166,-14.8676,144.3426,323.1,2019-08-01,Aqua,62,30.9,0
167,-14.8695,144.3264,319.9,2019-08-01,Aqua,60,24.4,0
168,-14.8559,144.3411,346.4,2019-08-01,Aqua,94,105.5,0
169,-14.8579,144.3248,358.9,2019-08-01,Aqua,99,170.7,0
170,-14.8598,144.3086,341.2,2019-08-01,Aqua,91,86.4,0
171,-14.8443,144.3396,333.2,2019-08-01,Aqua,65,55.1,0
172,-14.8462,144.3233,386.6,2019-08-01,Aqua,100,395.1,0
173,-14.8481,144.307,365.4,2019-08-01,Aqua,100,214.6,0
174,-14.8488,144.3351,349.2,2019-08-01,Aqua,95,122.3,0
175,-11.7949,142.0856,312.3,2019-08-01,Aqua,38,21.5,0
176,-12.018,141.8599,315.8,2019-08-01,Aqua,49,30.9,0
177,-11.8598,142.1847,312.4,2019-08-01,Aqua,25,21.4,0
178,-33.7971,120.7667,328.2,2019-08-01,Aqua,86,104.3,0
179,-33.3438,120.8919,307.1,2019-08-01,Aqua,65,24.2,0
180,-33.3513,120.8858,303.3,2019-08-01,Aqua,48,15.0,0
181,-33.3014,120.9884,303.5,2019-08-01,Aqua,51,15.7,0
182,-33.7994,120.7996,315.6,2019-08-01,Aqua,76,53.2,0
183,-33.8013,120.7719,336.0,2019-08-01,Aqua,90,145.8,0
184,-26.1473,129.3442,317.4,2019-08-01,Aqua,63,8.9,0
185,-22.2687,124.8861,352.4,2019-08-01,Aqua,95,59.2,0
186,-22.9423,128.2021,319.1,2019-08-01,Aqua,56,6.7,0
